NAME ,Position,LOCATION,Height,Weight,Stars,Rating,Committed,twitter,state,height_in,sentiment,neutral,positive,negative
Khatavian Franks,LB,"Fairburn, GA ","6'3"" ",203,3,5.6,18-12-2019,khatavian_4,GA,75,0.16,0.85028,0.09476,0.05496
Jeffrey Sims,QB,"Jacksonville, FL ","6'3"" ",195,4,5.8,18-12-2019,JeffSims_10,FL,75,0.36,0.82228,0.12556,0.0522
Jared Ivey,DE,"Suwanee, GA ","6'6"" ",215,3,5.7,11-12-2019,jared_ivey1595,GA,78,0.32,0.88184,0.1126,0.0056
Paula Vaipulu,OL,"Channelview, TX ","6'4"" ",303,3,5.5,31-10-2019,PTV_70,TX,76,0.28,0.82132,0.12464,0.05408
Ryan Spiers,OL,"Biloxi, MS ","6'4"" ",275,2,5.4,08-09-2019,ryanspiers71,MS,76,0.44,0.81844,0.16596,0.0156
Avery Boyd,WR,"Tallahassee, FL ","6'2"" ",198,3,5.6,24-08-2019,ABoyd723,FL,74,0.2,0.88648,0.08988,0.02368
Wing Green,OL,"Leesburg, GA ","6'7"" ",270,3,5.5,25-06-2019,WingGreenJr,GA,79,0.36,0.8356,0.13124,0.03316
Khaya Wright,DE,"Miami, FL ","6'3"" ",200,3,5.6,25-06-2019,Khayawright18,FL,75,0,1,0,0
Kyle Kennard,DE,"Atlanta, GA ","6'6"" ",215,4,5.6,12-06-2019,KyleKennard1,GA,78,0.36,0.71896,0.17136,0.10964
Jahmyr Gibbs,RB,"Dalton, GA ","5'11"" ",194,3,5.9,25-05-2019,Jahmyr_Gibbs1,GA,71,0.56,0.82112,0.16268,0.01624
Akelo Stone,DE,"Savannah, GA ","6'3"" ",244,3,5.6,26-04-2019,bigkelo1,GA,75,0.44,0.83892,0.15176,0.00932
Cade Kootsouradis,OL,"Crestview, FL ","6'4"" ",285,3,5.5,22-04-2019,kootsouradis,FL,76,0.44,0.8482,0.11748,0.03432
Jalen Huff,DB,"Buford, GA ","6'1"" ",178,3,5.6,03-04-2019,JalenHuffDB,GA,73,0.4,0.863,0.11888,0.01812
Miles Brooks,DB,"Jacksonville, FL ","6'2"" ",183,4,5.9,24-03-2019,realmilesbrooks,FL,74,0.32,0.89544,0.10456,0
Ryan King,WR,"Grayson, GA ","6'4"" ",205,3,5.7,14-03-2019,ryanking_rk,GA,76,0.2,0.90908,0.07576,0.01516
Billy Ward,TE,"Locust Grove, GA ","6'4"" ",235,3,5.6,07-03-2019,billy_ward16,GA,76,0.32,0.85668,0.11448,0.0288
Albany Casey,DE,"Bay Minette, AL ","6'4"" ",240,3,5.6,03-12-2019,albany_oneil,AL,76,0.44,0.6852,0.25732,0.05748
Mike Lockhart,DE,"Birmingham, AL ","6'5"" ",250,3,5.7,06-02-2019,the205mike,AL,77,0.48,0.8576,0.13456,0.00784
Jamious Griffin,RB,"Rome, GA ","5'10"" ",205,4,5.8,06-02-2019,JamiousGriffin,GA,70,0.64,0.68704,0.25784,0.05516
Sylvain Yondjouen,DE,"Belgium, null ","6'4"" ",232,3,5.5,19-12-2018,sylvainHYK,INT,76,0.16,0.873,0.08524,0.04172
Dylan Deveney,TE,"Princeton, NJ ","6'6"" ",240,2,5.4,17-12-2018,DeveneyDylan,NJ,78,0.52,0.78436,0.19788,0.01776
Kenan Johnson,DB,"Minneola, FL ","6'1"" ",175,3,5.6,10-12-2018,_kenan_7,FL,73,0.4,0.8472,0.10476,0.04812
Kalani Norris,WR,"Miami, FL ","5'11"" ",175,3,5.7,16-10-2018,KalaniNorris,FL,71,0.16,0.82996,0.1156,0.05444
D'Quan Douse,DE,"Savannah, GA ","6'3"" ",240,3,5.5,02-08-2018,quan_61,GA,75,0.68,0.82284,0.1586,0.01852
Wesley Walker,DB,"Nashville, TN ","6'0"" ",187,3,5.7,01-08-2018,weswalkerr_,TN,72,0.44,0.82248,0.1332,0.04436
Jamal Camp,DT,"Cumming, GA ","6'2"" ",275,3,5.5,01-08-2018,JamalCamp_60,GA,74,0.28,0.88504,0.0912,0.0238
Jordan Yates,QB,"Alpharetta, GA ","6'0"" ",186,4,5.8,22-06-2018,jor_yates,GA,72,0.48,0.80972,0.14116,0.04916
Demetrius Knight,QB,"Locust Grove, GA ","6'2"" ",215,3,5.5,18-06-2018,iam_the1knight,GA,74,0.44,0.83608,0.14028,0.02364
Tony Amerson,RB,"Montgomery, AL ","5'11"" ",212,3,5.6,02-06-2018,tonyamerson_,AL,71,0.52,0.73304,0.2,0.06692
Jordan Domineck,DE,"Lakeland, FL ","6'3"" ",206,3,5.5,07-02-2018,jdomineck16,FL,75,0.32,0.7998,0.12496,0.07528
Ja'Quon Griffin,DT,"Rome, GA ","6'0"" ",268,3,5.5,05-02-2018,Jaquongriffin,GA,72,0.32,0.80912,0.12,0.07084
Malachi Carter,WR,"Lawrenceville, GA ","6'3"" ",180,3,5.5,17-09-2017,King15Carter,GA,75,0.28,0.89616,0.08184,0.022
Juanyeh Thomas,DB,"Niceville, FL ","6'2"" ",208,3,5.5,08-08-2017,STG_Yeh1,FL,74,0.28,0.83028,0.11376,0.05608
Michael Maye,OL,"Hoover, AL ","6'3"" ",290,3,5.5,27-07-2017,Bigmaye61,AL,75,0.12,0.79292,0.1038,0.10324
Jaylon King,DB,"Nashville, TN ","6'0"" ",170,4,5.8,27-07-2017,JaylonKing2,TN,72,-0.08,0.9358,0.02384,0.04032
Zamari Walton,ATH,"Melbourne, FL ","6'1"" ",165,3,5.5,04-07-2017,ZWALT_21,FL,73,0.36,0.792,0.16216,0.04584
Austin Smith,DT,"Mcdonough, GA ","6'3"" ",275,3,5.5,23-06-2017,Aussiiee10,GA,75,0.32,0.85408,0.11752,0.02836
JaQuez Jackson,LB,"Fort Valley, GA ","6'1"" ",216,3,5.6,22-06-2017,TheMenace_4,GA,73,0.36,0.73112,0.21228,0.0566
T.K. Chimedza,DT,"Bradenton, FL ","6'2"" ",300,3,5.6,21-06-2017,__TKC11,FL,74,-1,0,0,-1
Peje Harris,WR,"Newnan, GA ","6'3"" ",207,3,5.5,05-06-2017,pjharris07,GA,75,0.16,0.8902,0.07252,0.03724
Charlie Thomas,DB,"Thomasville, GA ","6'2"" ",190,3,5.6,05-06-2017,L3G3ND_25,GA,74,0.24,0.74504,0.17628,0.07876
